cluster_name,size,top_shelves,top_subjects,top_keywords
Children & Young Adult Reading (Life Juvenile),1814,Children & Young Adult Reading; Fiction; Literature; Culture/Civilization/Society; Children's Fiction,Conduct of life -- Juvenile fiction; Christian life -- Juvenile fiction; Children -- Conduct of life -- Juvenile fiction; Friendship -- Juvenile fiction; Siblings -- Juvenile fiction,"juvenile fiction, juvenile, life juvenile, fiction children, conduct life, conduct, life, children, fiction conduct, fiction"
Children & Young Adult Reading (Juvenile Fiction),1725,Children & Young Adult Reading; Fiction; Literature; Children's Book Series; Crime/Mystery,Adventure stories; Girls -- Juvenile fiction; Mystery and detective stories; Boys -- Juvenile fiction; Schools -- Juvenile fiction,"juvenile fiction, juvenile, fiction children, adult reading, children young, young adult, adult, reading, young, reading fiction"
Biographies,1251,Biographies; Literature; History - General; History - American; Culture/Civilization/Society,"Authors, American -- 19th century -- Biography; Authors, English -- 19th century -- Biography; Poets, English -- 19th century -- Biography; Novelists, English -- 19th century -- Biography; Biography","biographies, biography, biographies literature, century biography, correspondence, biographies history, authors, english century, biography biographies, century"
Fiction (Western),1244,Fiction; Literature; Culture/Civilization/Society; History - American; Travel & Geography,"Western stories; Short stories; Short stories, American; Adventure stories; American fiction -- 19th century","western, western stories, fiction western, stories, stories culture, american fiction, society literature, culture civilization, civilization society, literature fiction"
Religion/Spirituality/Paranormal (Philosophy),1243,Religion/Spirituality/Paranormal; Philosophy & Ethics; Psychiatry/Psychology; Culture/Civilization/Society; History - Religious,Christian life; Religion; Spiritualism; Conduct of life; Free thought,"philosophy, ethics, philosophy ethics, religion, spirituality, spirituality paranormal, religion spirituality, paranormal, psychology religion, ethics psychiatry"
Literature (Fiction Fiction),1188,Literature; Fiction; Science-Fiction & Fantasy; Humour; Culture/Civilization/Society,Fiction; Short stories; English fiction; Love stories; Dime novels,"fiction fiction, fiction literature, literature fiction, literature, fiction, stories literature, english fiction, stories, short stories, short"
Crime/Mystery,1185,Crime/Mystery; Fiction; Literature; Detective Fiction; Children & Young Adult Reading,Detective and mystery stories; Mystery fiction; Fiction; Murder -- Investigation -- Fiction; Short stories,"mystery, crime, crime mystery, detective, mystery literature, detective mystery, mystery stories, fiction detective, stories crime, fiction crime"
Religion/Spirituality/Paranormal,1110,Religion/Spirituality/Paranormal; Philosophy & Ethics; History - Religious; Biographies; Christianity,"Sermons, English -- 19th century; Church of England -- Sermons; Latter Day Saint churches -- Doctrines; Catholic Church -- Periodicals; Sermons, English","church, religion, spirituality paranormal, religion spirituality, spirituality, paranormal, ethics religion, sermons, philosophy ethics, ethics"
Fiction (Society Literature),1069,Fiction; Literature; Culture/Civilization/Society; Science-Fiction & Fantasy; Humour,Love stories; Man-woman relationships -- Fiction; Adventure stories; Short stories; England -- Fiction,"fiction culture, society literature, fiction, culture, culture civilization, civilization society, civilization, literature fiction, society, fiction love"
Science-Fiction & Fantasy (Science),1007,Science-Fiction & Fantasy; Fiction; Literature; Science Fiction; Science Fiction by Women,Short stories; Science fiction; Time travel -- Fiction; Human-alien encounters -- Fiction; Robots -- Fiction,"science fiction, science, fiction short, short stories, short, literature science, fiction science, fantasy fiction, fiction fantasy, stories science"
